SPI_eepromDrvData.drvSPIRXbuffer[0], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[1], 0xDC,
SPI_eepromDrvData.drvSPIRXbuffer[2], 0xFB,
SPI_eepromDrvData.drvSPIRXbuffer[3], 0xFF,
SPI_eepromDrvData.drvSPIRXbuffer[4], 0xFF,
SPI_eepromDrvData.drvSPIRXbuffer[5], 0x3C,
SPI_eepromDrvData.drvSPIRXbuffer[6], 0x8D,
SPI_eepromDrvData.drvSPIRXbuffer[7], 0xBE,
SPI_eepromDrvData.drvSPIRXbuffer[8], 0xFF,
SPI_eepromDrvData.drvSPIRXbuffer[9], 0xC0,
SPI_eepromDrvData.drvSPIRXbuffer[10], 0x03,
SPI_eepromDrvData.drvSPIRXbuffer[11], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[12], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[13], 0xAC,
SPI_eepromDrvData.drvSPIRXbuffer[14], 0xA2,
SPI_eepromDrvData.drvSPIRXbuffer[15], 0x01,
SPI_eepromDrvData.drvSPIRXbuffer[16], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[17], 0xFC,
SPI_eepromDrvData.drvSPIRXbuffer[18], 0x16,
SPI_eepromDrvData.drvSPIRXbuffer[19], 0x61,
SPI_eepromDrvData.drvSPIRXbuffer[20], 0xFF,
SPI_eepromDrvData.drvSPIRXbuffer[21], 0x0A,
SPI_eepromDrvData.drvSPIRXbuffer[22], 0x8D,
SPI_eepromDrvData.drvSPIRXbuffer[23], 0x04,
SPI_eepromDrvData.drvSPIRXbuffer[24], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[25], 0x91,
SPI_eepromDrvData.drvSPIRXbuffer[26], 0x3A,
SPI_eepromDrvData.drvSPIRXbuffer[27], 0x91,
SPI_eepromDrvData.drvSPIRXbuffer[28], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[29], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[30], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[31], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[32], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[33], 0x00,
SPI_eepromDrvData.drvSPIRXbuffer[34], 0x00,
