SPI_eepromDrvData.drvSPITXbuffer[0], 0x02,
SPI_eepromDrvData.drvSPITXbuffer[1], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[2], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[3], 0x14,
SPI_eepromDrvData.drvSPITXbuffer[4], 0x74,
SPI_eepromDrvData.drvSPITXbuffer[5], 0x2B,
SPI_eepromDrvData.drvSPITXbuffer[6], 0x01,
SPI_eepromDrvData.drvSPITXbuffer[7], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[8], 0x4C,
SPI_eepromDrvData.drvSPITXbuffer[9], 0xF0,
SPI_eepromDrvData.drvSPITXbuffer[10], 0xFF,
SPI_eepromDrvData.drvSPITXbuffer[11], 0xFF,
SPI_eepromDrvData.drvSPITXbuffer[12], 0x34,
SPI_eepromDrvData.drvSPITXbuffer[13], 0xF7,
SPI_eepromDrvData.drvSPITXbuffer[14], 0xC5,
SPI_eepromDrvData.drvSPITXbuffer[15], 0xFF,
SPI_eepromDrvData.drvSPITXbuffer[16], 0xB4,
SPI_eepromDrvData.drvSPITXbuffer[17], 0x0A,
SPI_eepromDrvData.drvSPITXbuffer[18], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[19], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[20], 0xEC,
SPI_eepromDrvData.drvSPITXbuffer[21], 0x99,
SPI_eepromDrvData.drvSPITXbuffer[22], 0x01,
SPI_eepromDrvData.drvSPITXbuffer[23], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[24], 0xD4,
SPI_eepromDrvData.drvSPITXbuffer[25], 0x33,
SPI_eepromDrvData.drvSPITXbuffer[26], 0x62,
SPI_eepromDrvData.drvSPITXbuffer[27], 0xFF,
SPI_eepromDrvData.drvSPITXbuffer[28], 0xE6,
SPI_eepromDrvData.drvSPITXbuffer[29], 0x84,
SPI_eepromDrvData.drvSPITXbuffer[30], 0x04,
SPI_eepromDrvData.drvSPITXbuffer[31], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[32], 0x00,
SPI_eepromDrvData.drvSPITXbuffer[33], 0x00,
